date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:45	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Jan%202021%2014:47:18%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/lib/modernizr/modernizr-custom.js	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/lib/modernizr/modernizr-custom.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html)
17:47:48	52214/52214	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/js/chartinator.js	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/js/chartinator.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html)
17:47:49	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.44.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html)
17:47:49	16846/16846	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/js/skycons.js	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/js/skycons.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html)
17:47:51	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.46.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/grids.html)
17:47:51	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.47.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/portlet.html)
17:47:52	1784/1784	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/js/bars.js	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/js/bars.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html)
17:47:53	1747/1747	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/demo-page.css	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/css/demo-page.css	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/buttons.html)
17:47:53	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.4a.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/buttons.html)
17:47:54	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.4b.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/typography.html)
17:47:54	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.4c.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/icons.html)
17:47:55	0/-1	---M--	301	error ('')			https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.4d.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/login.html)
